timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-02-16,2.78e-06,2.81e-06,2.72e-06,2.76e-06,31600625.0,1739750399999,87.31034192,17912,11105867.0,30.64683865,0
2025-02-17,2.77e-06,2.79e-06,2.66e-06,2.7e-06,34489946.0,1739836799999,93.80118622,19665,15556197.0,42.18964037,0
2025-02-18,2.7e-06,2.7e-06,2.56e-06,2.62e-06,39111133.0,1739923199999,102.53967789,21538,17953576.0,47.12635441,0
2025-02-19,2.62e-06,2.66e-06,2.6e-06,2.63e-06,20905669.0,1740009599999,55.00794262,14037,10620609.0,27.92498964,0
2025-02-20,2.64e-06,2.66e-06,2.56e-06,2.59e-06,20242570.0,1740095999999,52.8094808,12367,5827751.0,15.23596412,0
2025-02-21,2.59e-06,2.63e-06,2.46e-06,2.49e-06,30527770.0,1740182399999,77.9385818,21984,11930913.0,30.46617076,0
2025-02-22,2.49e-06,2.57e-06,2.48e-06,2.55e-06,11047510.0,1740268799999,27.96152218,7480,4733389.0,11.98752377,0
2025-02-23,2.56e-06,2.57e-06,2.51e-06,2.52e-06,9557074.0,1740355199999,24.27172942,6523,3854956.0,9.80609565,0
2025-02-24,2.52e-06,2.53e-06,2.22e-06,2.3e-06,98543274.0,1740441599999,230.8179584,35992,44282707.0,104.23054874,0
2025-02-25,2.3e-06,2.41e-06,2.23e-06,2.39e-06,97465683.0,1740527999999,223.83421867,56425,52471196.0,120.80600498,0
2025-02-26,2.39e-06,2.44e-06,2.32e-06,2.42e-06,37326762.0,1740614399999,88.77435279,26552,21244757.0,50.58311868,0
2025-02-27,2.42e-06,2.48e-06,2.38e-06,2.44e-06,21851132.0,1740700799999,53.00871896,20023,11546076.0,28.00033742,0
2025-02-28,2.44e-06,2.45e-06,2.3e-06,2.39e-06,60652292.0,1740787199999,143.15775369,30158,30087107.0,70.93862617,0
2025-03-01,2.4e-06,2.43e-06,2.36e-06,2.4e-06,27495107.0,1740873599999,65.81517505,15097,13481677.0,32.33239117,0
2025-03-02,2.4e-06,2.61e-06,2.37e-06,2.54e-06,102896390.0,1740959999999,255.32142447,45664,49248094.0,122.6767488,0
2025-03-03,2.54e-06,2.55e-06,2.26e-06,2.31e-06,60924919.0,1741046399999,145.70468098,33754,26777828.0,64.05552524,0
2025-03-04,2.31e-06,2.36e-06,2.23e-06,2.28e-06,47759494.0,1741132799999,109.37915191,24256,19704092.0,45.24923121,0
2025-03-05,2.28e-06,2.34e-06,2.23e-06,2.26e-06,24117094.0,1741219199999,54.82963591,10223,12195352.0,27.76077679,0
2025-03-06,2.26e-06,2.38e-06,2.23e-06,2.24e-06,31094017.0,1741305599999,71.16672575,16112,14993299.0,34.24717934,0
2025-03-07,2.24e-06,2.36e-06,2.23e-06,2.28e-06,30506684.0,1741391999999,69.70875205,13895,14225546.0,32.42056532,0
2025-03-08,2.28e-06,2.32e-06,2.22e-06,2.23e-06,20874186.0,1741478399999,47.46893793,14611,12662796.0,28.86558728,0
2025-03-09,2.24e-06,2.25e-06,2.01e-06,2.08e-06,63143419.0,1741564799999,132.26068866,28348,23795875.0,49.85540755,0
2025-03-10,2.08e-06,2.16e-06,1.94e-06,1.96e-06,90050800.0,1741651199999,185.6016165,27386,45363284.0,93.89846154,0
2025-03-11,1.96e-06,2.03e-06,1.86e-06,1.98e-06,80709043.0,1741737599999,157.1095404,25695,35207710.0,68.98646625,0
2025-03-12,1.98e-06,2.07e-06,1.95e-06,2.07e-06,41106969.0,1741823999999,82.88392537,15498,23990622.0,48.42320042,0
2025-03-13,2.07e-06,2.07e-06,2e-06,2.03e-06,25611220.0,1741910399999,52.2489357,12751,12215997.0,24.95444627,0
2025-03-14,2.03e-06,2.07e-06,2.01e-06,2.04e-06,12158910.0,1741996799999,24.93758101,6054,5550430.0,11.39192159,0
2025-03-15,2.05e-06,2.11e-06,2.03e-06,2.08e-06,11161537.0,1742083199999,23.17902273,7043,7318651.0,15.21988772,0
2025-03-16,2.09e-06,2.1e-06,2.01e-06,2.03e-06,17662729.0,1742169599999,36.07944591,7437,9687016.0,19.75974356,0
2025-03-17,2.04e-06,2.09e-06,2.04e-06,2.06e-06,12597322.0,1742255999999,26.0646559,8149,5655308.0,11.72112037,0
2025-03-18,2.06e-06,2.07e-06,2.01e-06,2.03e-06,4130594.0,1742342399999,8.37354008,2064,2501232.0,5.0689417,0
